abbreviation,company_name,sector,country
HSY,The Hershey Company,Consumer Defensive,United States
HUM,Humana Inc.,Healthcare,United States
IBM,International Business Machines,Technology,United States
ICE,Intercontinental Exchange Inc.,Financial Services,United States
IDXX,"IDEXX Laboratories, Inc.",Healthcare,United States
IFF,International Flavors & Fragran,Basic Materials,United States
ILMN,"Illumina, Inc.",Healthcare,United States
INCY,Incyte Corporation,Healthcare,United States
INTC,Intel Corporation,Technology,United States
INTU,Intuit Inc.,Technology,United States
IPG,"Interpublic Group of Companies,",Communication Services,United States
IP,International Paper Company,Consumer Cyclical,United States
IQV,"IQVIA Holdings, Inc.",Healthcare,United States
IRM,Iron Mountain Incorporated (Del,Real Estate,United States
IR,Ingersoll Rand Inc.,Industrials,United States
ISRG,"Intuitive Surgical, Inc.",Healthcare,United States
ITW,Illinois Tool Works Inc.,Industrials,United States
IT,"Gartner, Inc.",Technology,United States
IVZ,Invesco Ltd,Financial Services,United States
JBHT,"J.B. Hunt Transport Services, I",Industrials,United States
JCI,Johnson Controls International ,Industrials,Ireland
JNJ,Johnson & Johnson,Healthcare,United States
JNPR,"Juniper Networks, Inc.",Technology,United States
JPM,JP Morgan Chase & Co.,Financial Services,United States
JWN,"Nordstrom, Inc.",Consumer Cyclical,United States
KEY,KeyCorp,Financial Services,United States
KHC,The Kraft Heinz Company,Consumer Defensive,United States
KIM,Kimco Realty Corporation (HC),Real Estate,United States
KLAC,KLA Corporation,Technology,United States
KMB,Kimberly-Clark Corporation,Consumer Defensive,United States
KMI,"Kinder Morgan, Inc.",Energy,United States
KMX,CarMax Inc,Consumer Cyclical,United States
KORS,CAPRI HLDGS LTD,,
KO,Coca-Cola Company (The),Consumer Defensive,United States
KR,Kroger Company (The),Consumer Defensive,United States
KSS,Kohl's Corporation,Consumer Cyclical,United States
K,Kellanova,Consumer Defensive,United States
LB,LandBridge Company LLC,Energy,United States
LEG,"Leggett & Platt, Incorporated",Consumer Cyclical,United States
LEN,Lennar Corporation,Consumer Cyclical,United States
LH,Labcorp Holdings Inc.,Healthcare,United States
LKQ,LKQ Corporation,Consumer Cyclical,United States
LLY,Eli Lilly and Company,Healthcare,United States
LMT,Lockheed Martin Corporation,Industrials,United States
LNC,Lincoln National Corporation,Financial Services,United States
LNT,Alliant Energy Corporation,Utilities,United States
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,United States
LRCX,Lam Research Corporation,Technology,United States
LUV,Southwest Airlines Company,Industrials,United States
LYB,LyondellBasell Industries NV,Basic Materials,United States
L,Loews Corporation,Financial Services,United States
MAA,Mid-America Apartment Communiti,Real Estate,United States
MAC,Macerich Company (The),Real Estate,United States
MAR,Marriott International,Consumer Cyclical,United States
MAS,Masco Corporation,Industrials,United States
MAT,"Mattel, Inc.",Consumer Cyclical,United States
MA,Mastercard Incorporated,Financial Services,United States
MCD,McDonald's Corporation,Consumer Cyclical,United States
MCHP,Microchip Technology Incorporat,Technology,United States
MCK,McKesson Corporation,Healthcare,United States
MCO,Moody's Corporation,Financial Services,United States
MDLZ,"Mondelez International, Inc.",Consumer Defensive,United States
MDT,Medtronic plc.,Healthcare,Ireland
MET,"MetLife, Inc.",Financial Services,United States
MGM,MGM Resorts International,Consumer Cyclical,United States
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,United States
MKC,"McCormick & Company, Incorporat",Consumer Defensive,United States
MLM,"Martin Marietta Materials, Inc.",Basic Materials,United States
MMC,"Marsh & McLennan Companies, Inc",Financial Services,United States
MMM,3M Company,Industrials,United States
MNST,Monster Beverage Corporation,Consumer Defensive,United States
MOS,Mosaic Company (The),Basic Materials,United States
MO,"Altria Group, Inc.",Consumer Defensive,United States
MPC,Marathon Petroleum Corporation,Energy,United States
MRK,"Merck & Company, Inc.",Healthcare,United States
MRO,Marathon Oil Corporation,Energy,United States
MSFT,Microsoft Corporation,Technology,United States
MSI,"Motorola Solutions, Inc.",Technology,United States
MS,Morgan Stanley,Financial Services,United States
MTB,M&T Bank Corporation,Financial Services,United States
MTD,"Mettler-Toledo International, I",Healthcare,United States
MU,"Micron Technology, Inc.",Technology,United States
M,Macy's Inc,Consumer Cyclical,United States
NAVI,Navient Corporation,Financial Services,United States
NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical,United States
NDAQ,"Nasdaq, Inc.",Financial Services,United States
NEE,"NextEra Energy, Inc.",Utilities,United States
NEM,Newmont Corporation,Basic Materials,United States
NFLX,"Netflix, Inc.",Communication Services,United States
NI,NiSource Inc,Utilities,United States
NKE,"Nike, Inc.",Consumer Cyclical,United States
NOC,Northrop Grumman Corporation,Industrials,United States
NOV,NOV Inc.,Energy,United States
NRG,"NRG Energy, Inc.",Utilities,United States
NSC,Norfolk Southern Corporation,Industrials,United States
NTAP,"NetApp, Inc.",Technology,United States
NTRS,Northern Trust Corporation,Financial Services,United States
NUE,Nucor Corporation,Basic Materials,United States
NVDA,NVIDIA Corporation,Technology,United States
NWL,Newell Brands Inc.,Consumer Defensive,United States
NWSA,News Corporation,Communication Services,United States
NWS,News Corporation,Communication Services,United States
